Lead_I,Lead_II,Lead_III,Lead_aVR,Lead_aVL,Lead_aVF,Lead_V1,Lead_V2,Lead_V3,Lead_V4,Lead_V5,Lead_V6
-0.13688351454831724,0.051441536715620156,0.19508404776478638,0.049819010289166174,-0.1911343406964119,0.12547591506270248,0.1426995360636072,0.14205006969014358,0.16279795774103614,0.1278065198991495,0.0800680464220643,0.08547105677277325
-0.07520903477534385,-0.012308311592074865,0.029276677412301503,0.049819010289166174,-0.061972144225094394,0.010747648503330924,0.16919717539213053,0.10416590374433468,0.14517724352382377,0.06768897639670371,0.035625011641853686,0.034275723865773766
-0.07520903477534385,-0.044183235745922374,-0.0038847966581954723,0.06759591569955371,-0.043520401872049044,-0.0274951070164596,0.1426995360636072,0.08522382077143023,0.109935815089399,0.027610614061739827,-0.031039540528462233,-0.016919609041225726
-0.16772075443480394,-0.044183235745922374,0.09559962555329544,0.12092663193071634,-0.13577911363727582,0.029869026263226184,0.1956948147206539,0.08522382077143023,0.12755652930661138,0.027610614061739827,-0.008818023138356926,-0.016919609041225726
-0.19855799432129065,-0.07605815989976988,0.09559962555329544,0.15648044275149142,-0.1542308559903212,0.010747648503330924,0.22219245404917723,0.10416590374433468,0.12755652930661138,0.027610614061739827,-0.031039540528462233,-0.016919609041225726
-0.16772075443480394,-0.1079330840536174,0.029276677412301503,0.15648044275149142,-0.09887562893118511,-0.046616484776354855,0.1956948147206539,0.10416590374433468,0.109935815089399,0.027610614061739827,-0.053261057918567535,-0.09371260840172496
-0.13688351454831724,-0.1079330840536174,0.029276677412301503,0.15648044275149142,-0.09887562893118511,-0.046616484776354855,0.1956948147206539,0.06628173779852578,0.09231510087218663,-0.012467748273224052,-0.07548257530867285,-0.1193102748552247
-0.16772075443480394,-0.1079330840536174,0.06243815148279847,0.17425734816187896,-0.11732737128423046,-0.0274951070164596,0.22219245404917723,0.06628173779852578,0.07469438665497424,-0.03250692944070599,-0.09770409269877815,-0.1193102748552247
-0.22939523420777733,-0.1398080082074649,0.09559962555329544,0.1920342535722665,-0.17268259834336652,-0.0274951070164596,0.22219245404917723,0.06628173779852578,0.09231510087218663,-0.012467748273224052,-0.053261057918567535,-0.09371260840172496
-0.16772075443480394,-0.1398080082074649,0.06243815148279847,0.17425734816187896,-0.13577911363727582,-0.046616484776354855,0.22219245404917723,0.04733965482562133,0.07469438665497424,-0.03250692944070599,-0.07548257530867285,-0.1193102748552247
-0.26023247409426403,-0.1398080082074649,0.16192257369428942,0.2275880643930416,-0.24648956775554795,0.010747648503330924,0.22219245404917723,0.08522382077143023,0.09231510087218663,-0.012467748273224052,-0.053261057918567535,-0.09371260840172496
-0.19855799432129065,-0.1398080082074649,0.09559962555329544,0.1920342535722665,-0.17268259834336652,-0.0274951070164596,0.22219245404917723,0.06628173779852578,0.07469438665497424,-0.05254611060818793,-0.07548257530867285,-0.1193102748552247
-0.19855799432129065,-0.1716829323613124,0.06243815148279847,0.20981115898265404,-0.1542308559903212,-0.06573786253625012,0.1956948147206539,0.06628173779852578,0.07469438665497424,-0.03250692944070599,-0.053261057918567535,-0.1193102748552247
-0.19855799432129065,-0.1716829323613124,0.06243815148279847,0.20981115898265404,-0.13577911363727582,-0.06573786253625012,0.1956948147206539,0.06628173779852578,0.05707367243776188,-0.05254611060818793,-0.07548257530867285,-0.14490794130872445
-0.19855799432129065,-0.1716829323613124,0.06243815148279847,0.20981115898265404,-0.13577911363727582,-0.06573786253625012,0.1956948147206539,0.06628173779852578,0.05707367243776188,-0.05254611060818793,-0.09770409269877815,-0.14490794130872445
-0.16772075443480394,-0.20355785651515992,-0.0038847966581954723,0.20981115898265404,-0.08042388657813976,-0.12310199581593591,0.1956948147206539,0.04733965482562133,0.03945295822054951,-0.05254611060818793,-0.11992561008888346,-0.1705056077622242
-0.13688351454831724,-0.20355785651515992,-0.07020774479918943,0.1920342535722665,-0.043520401872049044,-0.14222337357583117,0.16919717539213053,0.04733965482562133,0.03945295822054951,-0.07258529177566987,-0.09770409269877815,-0.1705056077622242
-0.22939523420777733,-0.20355785651515992,0.029276677412301503,0.24536496980342914,-0.1542308559903212,-0.08485924029614537,0.1956948147206539,0.06628173779852578,0.03945295822054951,-0.05254611060818793,-0.09770409269877815,-0.14490794130872445
-0.22939523420777733,-0.20355785651515992,0.029276677412301503,0.24536496980342914,-0.1542308559903212,-0.08485924029614537,0.1956948147206539,0.04733965482562133,0.03945295822054951,-0.07258529177566987,-0.09770409269877815,-0.1193102748552247
-0.19855799432129065,-0.20355785651515992,-0.0038847966581954723,0.2275880643930416,-0.11732737128423046,-0.10398061805604064,0.16919717539213053,0.04733965482562133,0.03945295822054951,-0.07258529177566987,-0.11992561008888346,-0.1193102748552247
-0.19855799432129065,-0.1716829323613124,0.029276677412301503,0.20981115898265404,-0.13577911363727582,-0.06573786253625012,0.16919717539213053,0.028397571852716883,0.021832244003337137,-0.0926244729431518,-0.09770409269877815,-0.14490794130872445
